"sgID","gene_TSS","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TMX2__P1P2__primary__FWD__48","TMX2__P1P2",2434.89237682167,0.124232586854174,0.087596625501,1.41823484801656,0.156122210981093,0.300901944452613
"TMX2__P1P2__primary__FWD__51","TMX2__P1P2",2400.34437053827,0.0874405512064099,0.101520175806494,0.861312054591778,0.389066198231046,0.568023194710671
"TMX2_+_57480132.23-P1P2","TMX2__P1P2",2398.55426035455,0.143018968854617,0.212089056688714,0.674334504040572,0.500098672348041,0.667924888875321
"TNKS2__P1P2__primary__RVS__49","TNKS2__P1P2",2170.48349528405,-0.0762895031331849,0.0998183473579477,-0.764283372270344,0.4446983920726,0.621778263922403
"TNKS2__P1P2__primary__FWD__58","TNKS2__P1P2",1817.53852533442,-0.147523430544529,0.105100221505694,-1.40364528667084,0.160424502508091,0.306691107164037
"TNKS2__P1P2__primary__FWD__54","TNKS2__P1P2",2151.04245847365,-0.0055602843681823,0.0969327862427691,-0.0573622670275516,0.954256620036441,0.975822880115414
"TNKS2_-_93558572.23-P1P2","TNKS2__P1P2",2131.21114025588,-0.185053760716743,0.0858406925448354,-2.15578131106163,0.0311007454727148,0.0840492655351095
"TNKS2_+_93558193.23-P1P2","TNKS2__P1P2",1984.52966842382,-0.228564847936074,0.098103381218381,-2.32983659785672,0.0198147890512718,0.0572394398518691
"TNKS2_+_93558190.23-P1P2","TNKS2__P1P2",2012.26108401974,-0.191454416442108,0.11243085035931,-1.70286372317075,0.0885935742710252,0.197051522447921
"TNKS2_-_93558612.23-P1P2","TNKS2__P1P2",2187.32517805568,-0.119681509634841,0.0878691958029555,-1.36204170916989,0.173184722519711,0.324386543601734
"TNKS2_-_93558591.23-P1P2","TNKS2__P1P2",2738.71722629837,-0.0163946950521465,0.0933236427629528,-0.175675686961662,0.860548737213885,0.926936049584709
"TNRC6A_+_24741462.23-P1P2","TNRC6A__P1P2",2236.11699012645,0.361821127337592,0.0969542482271143,3.73187491991099,0.000190059873162568,0.0008615869624687
"TNRC6A_-_24741413.23-P1P2","TNRC6A__P1P2",1964.28744903887,-0.462650987928989,0.124254796384538,-3.72340546514758,0.000196553478504145,0.000888943172515477
"TNRC6A_-_24741060.23-P1P2","TNRC6A__P1P2",2268.78239265437,-0.251258099167988,0.0739525753485476,-3.39755712338316,0.000679903915202223,0.00277902474077802
"TNRC6A__P1P2__primary__FWD__54","TNRC6A__P1P2",1771.379127456,0.0407566818926611,0.135697100145782,0.300350426419397,0.763909872944101,0.867777956325403
"TNRC6A__P1P2__primary__FWD__62","TNRC6A__P1P2",2941.0798480963,0.229831551993591,0.0965444778616627,2.38057688108183,0.0172855536398334,0.0510448355884436
"TNRC6A__P1P2__primary__RVS__97","TNRC6A__P1P2",2584.31299755351,0.0279471547190219,0.0691297133740643,0.40427123670828,0.686013274328143,0.815952160093282
"TNRC6A_+_24741491.23-P1P2","TNRC6A__P1P2",2539.77837668449,0.0955929565126046,0.0874573756342369,1.09302338218325,0.27438353366363,0.450353550002348
"TNRC6A_-_24741237.23-P1P2","TNRC6A__P1P2",1437.5759679257,-2.69784529751986,0.265756644717427,-10.1515629097004,3.26098622213803e-24,2.95104014850117e-22
"TOP1__P1P2__secondary__RVS__44","TOP1__P1P2",2652.20938276233,0.0561340752936438,0.0795526837633151,0.70562138997917,0.480423618628536,0.652637810975213
"TOP1__P1P2__secondary__FWD__26","TOP1__P1P2",1787.63751881474,-0.566848005643349,0.268958044711858,-2.10757036938839,0.0350681688486406,0.0932358810986785
"TOP1_+_39657849.23-P1P2","TOP1__P1P2",1085.46439763633,-2.01498952254971,0.341800514120267,-5.89522086511757,3.74180545710436e-09,3.59443474614499e-08
"TOP1__P1P2__secondary__RVS__39","TOP1__P1P2",1204.44412964581,-1.80683046665981,0.316911756863819,-5.70136773889466,1.18849930935711e-08,1.0424129359153e-07
"TOP1_+_39657511.23-P1P2","TOP1__P1P2",1636.56014711147,-1.38857279680973,0.396252775667168,-3.50426011394318,0.000457877883195617,0.00194032015010204
"TOP1_+_39657702.23-P1P2","TOP1__P1P2",1950.66938471399,-0.827754228392447,0.244822713604078,-3.38103526509829,0.000722132742765019,0.00293675403116072
"TOP1_-_39657543.23-P1P2","TOP1__P1P2",1876.24551899407,-0.286646721076734,0.258164112465027,-1.11032752902697,0.266857914536552,0.441857932020765
"TOP1_+_39657870.23-P1P2","TOP1__P1P2",2426.15505946653,-0.220552568351993,0.154479467012919,-1.42771445692228,0.153374063298811,0.296964818020872
"TP53BP1__P1__primarysecondary__FWD__72","TP53BP1__P1",9396.82068224241,1.1847723655159,0.459264145922396,2.57971883073166,0.00988807874793971,0.0315369784309289
"TP53BP1__P1__primarysecondary__RVS__67","TP53BP1__P1",9821.50431386545,1.04492785407099,0.528547440777542,1.97698025466513,0.0480438621571926,0.120546475639345
"TP53BP1_+_43785094.23-P1","TP53BP1__P1",6838.46720318521,1.20248297868807,0.48439813392768,2.48242694276688,0.0130490822936663,0.0401252028737919
"TP53BP1_+_43785309.23-P1","TP53BP1__P1",8881.46293939347,1.06804631289351,0.516891729865878,2.06628632493432,0.0388014518892937,0.101052839871982
"TP53BP1_+_43785295.23-P1","TP53BP1__P1",9683.31974279874,1.1653149927044,0.491340602414087,2.37170505954301,0.0177062184505568,0.0520331754952175
"TP53BP1_+_43785287.23-P1","TP53BP1__P1",9800.05762767067,1.04892387562788,0.506693758555564,2.0701337995914,0.0384398164911199,0.100435170826636
"TP53BP1_+_43785299.23-P1","TP53BP1__P1",5778.06439278939,1.15208732794872,0.522993174567057,2.20287258796912,0.0276037301755846,0.0761501194558933
"TP53BP1__P1__primarysecondary__FWD__65","TP53BP1__P1",8227.63234117706,1.15222877309949,0.489757596138085,2.35265115270335,0.0186401121933589,0.0544471210764085
"TP53__P1P2__primarysecondary__FWD__60","TP53__P1P2",48111.2420517779,1.62286658062677,0.622104668651185,2.60867127736782,0.0090894511448433,0.0293475009788322
"TP53_+_7590763.23-P1P2","TP53__P1P2",68764.3018650807,1.82413505150571,0.642181578596014,2.84052846158211,0.00450388537439257,0.0156480524148702
"TP53_+_7590780.23-P1P2","TP53__P1P2",103769.147926735,1.87523915727569,0.644210064736727,2.91091254223426,0.00360374874330274,0.0127354376209491
"TP53_+_7590774.23-P1P2","TP53__P1P2",63444.500403495,1.91900658431517,0.637613511960667,3.00967051092473,0.00261531233930042,0.00951317407266943
"TP53__P1P2__primarysecondary__FWD__51","TP53__P1P2",13056.1575615107,1.0294366003222,0.520699313189689,1.97702699858792,0.0480385784856111,0.120546475639345
"TP53__P1P2__primarysecondary__FWD__34","TP53__P1P2",92558.4347171442,1.86543874908837,0.640349488371564,2.91315724141869,0.00357794386876261,0.0126581039390677
"TP53__P1P2__primarysecondary__RVS__44","TP53__P1P2",71251.6591107536,2.00355668807871,0.643593899469478,3.11307594700674,0.00185148366350748,0.006940734151662
